Row,reno_cwnd,reno_cwnd_derivative,reno_cwnd_difference,cubic_cwnd,cubic_cwnd_derivative,cubic_cwnd_difference,yeah_cwnd,yeah_cwnd_derivative,yeah_cwnd_difference,vegas_cwnd,vegas_cwnd_derivative,vegas_cwnd_difference,reno_goodput,reno_goodput_derivative,reno_goodput_difference,cubic_goodput,cubic_goodput_derivative,cubic_goodput_difference,yeah_goodput,yeah_goodput_derivative,yeah_goodput_difference,vegas_goodput,vegas_goodput_derivative,vegas_goodput_difference,reno_rtt,reno_rtt_derivative,reno_rtt_difference,cubic_rtt,cubic_rtt_derivative,cubic_rtt_difference,yeah_rtt,yeah_rtt_derivative,yeah_rtt_difference,vegas_rtt,vegas_rtt_derivative,vegas_rtt_difference,reno_loss,reno_loss_derivative,reno_loss_difference,cubic_loss,cubic_loss_derivative,cubic_loss_difference,yeah_loss,yeah_loss_derivative,yeah_loss_difference,vegas_loss,vegas_loss_derivative,vegas_loss_difference
33,9.405,0.285,0.8989999999999991,30.0,0.9090909090909091,0.0,27.0,0.8181818181818182,0.0,14.639,0.44360606060606056,0.0,79,2.393939393939394,8,291,8.818181818181818,0,238,7.212121212121212,0,113,3.4242424242424243,0,2.1,0.06363636363636364,0.0,2.103,0.06372727272727273,0.0,2.1,0.06363636363636364,0.0,2.1,0.06363636363636364,0.0,9,0.2727272727272727,0,22,0.6666666666666666,0,13,0.3939393939393939,0,1,0.030303030303030304,0
34,9.405,0.2766176470588235,0.0,31.0,0.9117647058823529,1.0,28.0,0.8235294117647058,1.0,15.596,0.4587058823529412,0.9570000000000007,79,2.323529411764706,0,321,9.441176470588236,30,265,7.794117647058823,27,127,3.735294117647059,14,2.1,0.061764705882352944,0.0,2.1,0.061764705882352944,-0.0030000000000001137,2.101,0.061794117647058826,0.0009999999999998899,2.1,0.061764705882352944,0.0,9,0.2647058823529412,0,22,0.6470588235294118,0,13,0.38235294117647056,0,1,0.029411764705882353,0
35,10.322,0.2949142857142857,0.9169999999999998,31.0,0.8857142857142857,0.0,28.0,0.8,0.0,15.596,0.4456,0.0,88,2.5142857142857142,9,321,9.17142857142857,0,265,7.571428571428571,0,127,3.6285714285714286,0,2.1,0.060000000000000005,0.0,2.1,0.060000000000000005,0.0,2.101,0.06002857142857143,0.0,2.1,0.060000000000000005,0.0,9,0.2571428571428571,0,22,0.6285714285714286,0,13,0.37142857142857144,0,1,0.02857142857142857,0
36,10.322,0.2867222222222222,0.0,33.0,0.9166666666666666,2.0,29.0,0.8055555555555556,1.0,16.557,0.45991666666666664,0.9609999999999985,88,2.4444444444444446,0,352,9.777777777777779,31,293,8.13888888888889,28,142,3.9444444444444446,15,2.1,0.058333333333333334,0.0,2.1,0.058333333333333334,0.0,2.1,0.058333333333333334,-0.0009999999999998899,2.1,0.058333333333333334,0.0,9,0.25,0,22,0.6111111111111112,0,13,0.3611111111111111,0,1,0.027777777777777776,0
37,10.322,0.27897297297297297,0.0,33.0,0.8918918918918919,0.0,29.0,0.7837837837837838,0.0,16.557,0.4474864864864864,0.0,88,2.3783783783783785,0,352,9.513513513513514,0,293,7.918918918918919,0,142,3.8378378378378377,0,2.1,0.05675675675675676,0.0,2.1,0.05675675675675676,0.0,2.1,0.05675675675675676,0.0,2.1,0.05675675675675676,0.0,9,0.24324324324324326,0,22,0.5945945945945946,0,13,0.35135135135135137,0,1,0.02702702702702703,0
38,11.253,0.2961315789473684,0.9310000000000009,36.0,0.9473684210526315,3.0,30.0,0.7894736842105263,1.0,17.524,0.46115789473684216,0.9670000000000023,98,2.5789473684210527,10,385,10.131578947368421,33,322,8.473684210526315,29,158,4.157894736842105,16,2.1,0.05526315789473685,0.0,2.1,0.05526315789473685,0.0,2.1,0.05526315789473685,0.0,2.1,0.05526315789473685,0.0,9,0.23684210526315788,0,22,0.5789473684210527,0,13,0.34210526315789475,0,1,0.02631578947368421,0
39,11.253,0.2885384615384615,0.0,36.0,0.9230769230769231,0.0,30.0,0.7692307692307693,0.0,17.524,0.44933333333333336,0.0,98,2.5128205128205128,0,385,9.871794871794872,0,322,8.256410256410257,0,158,4.051282051282051,0,2.1,0.05384615384615385,0.0,2.1,0.05384615384615385,0.0,2.1,0.05384615384615385,0.0,2.1,0.05384615384615385,0.0,9,0.23076923076923078,0,22,0.5641025641025641,0,13,0.3333333333333333,0,1,0.02564102564102564,0
40,12.195,0.304875,0.9420000000000002,53.0,1.325,17.0,31.0,0.775,1.0,18.494,0.46235,0.9699999999999989,109,2.725,11,421,10.525,36,352,8.8,30,175,4.375,17,2.1,0.052500000000000005,0.0,2.101,0.052525,0.0009999999999998899,2.1,0.052500000000000005,0.0,2.1,0.052500000000000005,0.0,9,0.225,0,22,0.55,0,13,0.325,0,1,0.025,0
41,12.195,0.2974390243902439,0.0,53.0,1.2926829268292683,0.0,31.0,0.7560975609756098,0.0,18.494,0.45107317073170733,0.0,109,2.658536585365854,0,421,10.268292682926829,0,352,8.585365853658537,0,175,4.2682926829268295,0,2.1,0.051219512195121955,0.0,2.101,0.05124390243902439,0.0,2.1,0.051219512195121955,0.0,2.1,0.051219512195121955,0.0,9,0.21951219512195122,0,32,0.7804878048780488,10,13,0.3170731707317073,0,1,0.024390243902439025,0
42,13.145,0.31297619047619046,0.9499999999999993,53.0,1.2619047619047619,0.0,31.0,0.7380952380952381,0.0,18.494,0.44033333333333335,0.0,121,2.880952380952381,12,421,10.023809523809524,0,352,8.380952380952381,0,175,4.166666666666667,0,2.1,0.05,0.0,2.101,0.050023809523809526,0.0,2.1,0.05,0.0,2.1,0.05,0.0,9,0.21428571428571427,0,32,0.7619047619047619,0,13,0.30952380952380953,0,1,0.023809523809523808,0
